# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "1" "-t" "exon" "-g" "gene_name" "-M" "-a" "TetGenomeRef.gtf" "-o" "transcriptome_counts.txt" "/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam" 
Geneid	Chr	Start	End	Strand	Length	/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam
TTHERM_001431529	scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805	564;843;1078;1271;1706;1856;2105;2373;2789;2919;3208;3491	653;932;1168;1360;1795;1945;2194;2733;2835;3008;3297;3584	+;+;+;+;+;+;+;+;+;+;+;+	1313	1
TTHERM_01431530	scf_8253805	7010	8674	+	1665	0
TTHERM_001431536	scf_8253805;scf_8253805	11170;11384	11291;11558	+;+	297	0
TTHERM_01431550	scf_8253805;scf_8253805	12655;12802	12709;12911	-;-	165	0
TTHERM_01431560	scf_8253805	13299	13508	-	210	0
TTHERM_01431570	scf_8253805	17491	18378	+	888	0
TTHERM_001431570	scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805;scf_8253805	18914;19012;19208;20034;20379;20597;20873;21017;21393;21667	18955;19061;19297;20123;20468;20686;20962;21106;21482;21756	+;+;+;+;+;+;+;+;+;+	812	0
TTHERM_001513249	scf_8253807;scf_8253807	227;599	347;669	-;-	192	0
TTHERM_01513250	scf_8253807;scf_8253807	3016;3208	3151;4208	+;+	1137	99
TTHERM_01513260	scf_8253807;scf_8253807	5869;6576	6256;7486	+;+	1299	5
TTHERM_01513280	scf_8253807;scf_8253807;scf_8253807;scf_8253807;scf_8253807;scf_8253807;scf_8253807;scf_8253807	10236;10553;10820;11213;11579;11876;12156;12508	10418;10607;10999;11410;11650;12069;12415;12670	+;+;+;+;+;+;+;+	1305	147
TTHERM_001513283	scf_8253807;scf_8253807	12929;13093	13015;13506	-;-	501	0
TTHERM_01513300	scf_8253807;scf_8253807;scf_8253807	13728;13896;14164	13817;14023;15241	-;-;-	1296	0
TTHERM_01887100	scf_8253812	174	485	+	312	2
TTHERM_000495899	scf_8253815;scf_8253815;scf_8253815	293;883;1117	826;1038;1764	+;+;+	1338	1
TTHERM_00495900	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	2738;3545;5267;5430;6032;6662;7137;8158;8587;9342;9829;11111;11357;11527;11694;11850;12026;12281;12442;12601;12752;13025;13344;13503;13660;13807;13965;14166;14326;14555	3295;5183;5356;5983;6548;7074;7833;8524;9283;9759;11044;11203;11461;11634;11792;11957;12223;12379;12549;12702;12970;13120;13445;13598;13761;13911;14069;14267;14490;14666	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9390	115
TTHERM_00495910	scf_8253815;scf_8253815	15112;15823	15527;17308	-;-	1902	0
TTHERM_00495920	scf_8253815	18587	19726	+	1140	75
TTHERM_00495930	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	20252;20435;20659;20813;21058;21542	20369;20604;20745;20998;21380;22169	+;+;+;+;+;+	1512	9
TTHERM_00495940	scf_8253815;scf_8253815;scf_8253815	22931;26138;29115	26003;29057;29382	-;-;-	6261	0
TTHERM_00495950	scf_8253815	32060	32683	+	624	42
TTHERM_00495960	scf_8253815;scf_8253815;scf_8253815;scf_8253815	34703;34927;35985;36978	34817;35725;36770;42375	+;+;+;+	7098	153
TTHERM_00495970	scf_8253815;scf_8253815	43431;43922	43818;44724	+;+	1191	3
TTHERM_00495980	scf_8253815	45559	46680	+	1122	6
TTHERM_000495990	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	47457;48316;48914;49364;49615;50078;50372;51058;51448;51865;52366;53231;54042;54351;54831;55254;55422;56041;56421;56819;57070;57533;57808	48102;48851;49310;49566;50019;50320;50995;51394;51817;52283;53165;53968;54297;54770;55195;55357;55983;56367;56765;57019;57372;57756;58453	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9471	92
TTHERM_00495991	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	59432;59638;59885;60419;60606;60980;61110;61664;62051;62231;62879;63932;64244;64449;64615;64769;65240;65399	59573;59834;60279;60553;60921;61051;61604;61979;62167;62821;63583;64192;64398;64553;64707;65193;65343;65433	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4659	12
TTHERM_000496001	scf_8253815;scf_8253815;scf_8253815;scf_8253815	66311;66910;67970;69025	66769;67903;68795;70780	+;+;+;+	4035	22
TTHERM_00496990	scf_8253815;scf_8253815;scf_8253815	71999;73017;73338	72299;73210;77537	+;+;+	4695	54
TTHERM_00497000	scf_8253815	81286	82227	+	942	35
TTHERM_000497001	scf_8253815;scf_8253815	82891;83454	83402;83592	-;-	651	0
TTHERM_00497020	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	85853;86199;86493;86683;86966;87551;88472;89630;89825;90018	86074;86401;86621;86816;87096;87909;88739;89730;89920;90810	-;-;-;-;-;-;-;-;-;-	2436	0
TTHERM_00497030	scf_8253815;scf_8253815;scf_8253815;scf_8253815	91836;92692;93002;93427	92633;92889;93367;93708	-;-;-;-	1644	0
TTHERM_00497050	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	94180;94302;94432;94586;94816;95150;95562;95978;96242;96414;96617;96813;97064;97592;98702;99372;99530;99844	94239;94382;94529;94757;95097;95493;95927;96190;96357;96562;96764;97006;97537;98599;99321;99480;99784;100074	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4920	36
TTHERM_00497060	scf_8253815;scf_8253815;scf_8253815;scf_8253815	100930;101672;102027;102155	101387;101969;102094;102977	-;-;-;-	1647	0
TTHERM_00497080	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	104417;106175;109581;110926;112534	106005;109508;109787;112421;116431	+;+;+;+;+	10524	11
TTHERM_00497090	scf_8253815;scf_8253815;scf_8253815	117262;118276;118665	117719;118468;119942	-;-;-	1929	0
TTHERM_000497099	scf_8253815;scf_8253815	120167;120431	120369;120446	-;-	219	0
TTHERM_00497100	scf_8253815;scf_8253815	120895;121360	121267;121613	-;-	627	0
TTHERM_00497110	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	122919;125040;125478;125924;126782	124836;125408;125863;126717;127478	+;+;+;+;+	4164	6
TTHERM_00497120	scf_8253815;scf_8253815;scf_8253815;scf_8253815	128358;128828;129309;129618	128774;129183;129539;129957	-;-;-;-	1344	0
TTHERM_00497130	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	130809;131139;131254;131798;132127;132374;132768	131084;131189;131748;132068;132325;132506;133112	-;-;-;-;-;-;-	1770	0
TTHERM_00497140	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	134105;134326;134471;134614;134758;134899;135145;135288;135427;135617;135845;135983;136121;136625	134264;134415;134560;134703;134847;134988;135234;135374;135516;135706;135934;136069;136213;136716	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1329	0
TTHERM_00497150	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	139833;140333;140823;141428;141879;142046;142184	140265;140667;141340;141818;141984;142131;142243	+;+;+;+;+;+;+	1929	63
TTHERM_00497170	scf_8253815	144697	146670	+	1974	16
TTHERM_00497180	scf_8253815	147508	148224	-	717	0
TTHERM_000497199	scf_8253815;scf_8253815	149310;149574	149365;149742	-;-	225	0
TTHERM_00497200	scf_8253815	150825	151910	-	1086	0
TTHERM_00497210	scf_8253815	153251	154171	+	921	3
TTHERM_00497220	scf_8253815	155120	156130	+	1011	2
TTHERM_00497230	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	156561;157356;157498;157638;157781;158047;158188;158330;158467;158623;158759;158897;159001	157293;157445;157587;157727;157870;158136;158277;158419;158556;158712;158848;158949;159024	-;-;-;-;-;-;-;-;-;-;-;-;-	1710	0
TTHERM_00497240	scf_8253815	159654	160679	-	1026	0
TTHERM_00497250	scf_8253815	162449	163459	+	1011	2
TTHERM_00497260	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	164895;165310;165450;165738;166371;166774;167574	165257;165390;165685;166308;166668;167321;168299	-;-;-;-;-;-;-	2823	0
TTHERM_00497270	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	169504;169592;169801;169955;170106;170311;170431;170545;170673	169536;169742;169892;170046;170235;170372;170466;170611;170837	-;-;-;-;-;-;-;-;-	828	0
TTHERM_000497279	scf_8253815;scf_8253815	172001;172266	172143;172476	+;+	354	17
TTHERM_00497280	scf_8253815;scf_8253815	173342;174111	174061;174245	+;+	855	1
TTHERM_00497290	scf_8253815;scf_8253815	175078;176650	176402;177112	+;+	1788	68
TTHERM_00497300	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	177765;178726;179037;179208;179781;180255;180504;181185;181751;181947;182498;182905;184046;185454;185815;186613;187368;187560;187790;188145	178564;178987;179141;179725;180157;180447;181129;181628;181891;182440;182854;183987;185384;185753;186555;187287;187504;187732;188086;188493	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9411	72
TTHERM_00497310	scf_8253815	189396	189908	+	513	82
TTHERM_00497320	scf_8253815;scf_8253815	190838;192542	192357;193043	-;-	2022	0
TTHERM_00497330	scf_8253815;scf_8253815;scf_8253815;scf_8253815	194261;194721;194826;195073	194666;194773;195018;195473	+;+;+;+	1053	15
TTHERM_00497350	scf_8253815	196794	198380	+	1587	0
TTHERM_000497359	scf_8253815	198889	199344	+	456	0
TTHERM_00497360	scf_8253815	200167	200958	-	792	0
TTHERM_00497370	scf_8253815	202348	203271	-	924	0
TTHERM_00497380	scf_8253815	204353	205345	-	993	0
TTHERM_000497389	scf_8253815;scf_8253815	207338;207587	207427;208048	+;+	552	0
TTHERM_00497390	scf_8253815	208459	209418	+	960	75
TTHERM_00497400	scf_8253815;scf_8253815;scf_8253815	210090;211165;212766	211112;212708;212943	-;-;-	2745	0
TTHERM_000497409	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	213817;213975;214081;214764;214875;215303;215590;216235;216608;216811	213917;214035;214700;214819;215244;215537;216105;216510;216738;217138	-;-;-;-;-;-;-;-;-;-	2694	0
TTHERM_00497410	scf_8253815	218928	219857	-	930	0
TTHERM_00497420	scf_8253815	221413	222246	-	834	0
TTHERM_000497439	scf_8253815	224012	224434	-	423	0
TTHERM_00497440	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	225003;225198;225667;225816;226099;226269;226691;228278;229139	225106;225606;225771;226042;226222;226637;228200;229086;230230	+;+;+;+;+;+;+;+;+	4749	32
TTHERM_00497450	scf_8253815;scf_8253815;scf_8253815;scf_8253815	231249;231814;232467;232676	231644;232080;232539;232995	-;-;-;-	1056	0
TTHERM_00497460	scf_8253815;scf_8253815;scf_8253815;scf_8253815	234387;236769;236952;237619	236666;236893;237563;240715	-;-;-;-	6114	0
TTHERM_000497497	scf_8253815;scf_8253815	245024;245352	245276;245509	+;+	411	0
TTHERM_000497498	scf_8253815	245520	245957	+	438	0
TTHERM_000497499	scf_8253815	247131	247544	+	414	3
TTHERM_00497500	scf_8253815	248851	249192	+	342	4
TTHERM_00497520	scf_8253815;scf_8253815	251508;252640	251702;254304	+;+	1860	67
TTHERM_00497540	scf_8253815;scf_8253815	254859;255708	255629;256232	+;+	1296	1
TTHERM_00497550	scf_8253815;scf_8253815;scf_8253815	256653;256896;256998	256755;256948;257534	+;+;+	693	351
TTHERM_00497560	scf_8253815	258147	259430	+	1284	23
TTHERM_00497570	scf_8253815;scf_8253815;scf_8253815	260441;260857;261324	260614;260946;261458	+;+;+	399	8
TTHERM_00497580	scf_8253815;scf_8253815	261886;262588	262447;262628	+;+	603	17
TTHERM_00497590	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	264069;264320;264484;264605;266371	264267;264421;264552;266317;266489	+;+;+;+;+	2202	1926
TTHERM_00497600	scf_8253815	266807	267283	+	477	9
TTHERM_000497609	scf_8253815;scf_8253815;scf_8253815;scf_8253815	267957;268177;268408;268862	268105;268276;268804;269121	+;+;+;+	906	1
TTHERM_00497610	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	269538;269986;270409;270553;270861;271338;271553	269928;270356;270500;270804;271278;271494;271974	+;+;+;+;+;+;+	2103	12
TTHERM_00497620	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	272626;272749;272938;273145;273288;273678;273788	272699;272885;273073;273217;273538;273724;273816	+;+;+;+;+;+;+	747	12
TTHERM_00497630	scf_8253815	274136	276460	-	2325	0
TTHERM_000497639	scf_8253815;scf_8253815;scf_8253815;scf_8253815	277212;277820;278058;278160	277763;277999;278108;278303	-;-;-;-	927	0
TTHERM_00497640	scf_8253815	278546	279568	-	1023	0
TTHERM_00497650	scf_8253815	281767	283380	-	1614	0
TTHERM_00497660	scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815;scf_8253815	284230;284457;284658;284851;285149;285351;285509;286523;286722;286972;287159;287265;287475	284254;284590;284790;285086;285301;285446;286432;286669;286840;287104;287215;287420;287555	+;+;+;+;+;+;+;+;+;+;+;+;+	2394	134
TTHERM_00497670	scf_8253815;scf_8253815;scf_8253815	287897;288928;289058	288866;289002;290931	-;-;-	2919	0
TTHERM_000497679	scf_8253815;scf_8253815	290968;291334	291214;291548	+;+	462	0
