# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "1" "-t" "exon" "-g" "gene_name" "-M" "-a" "POTENTIAL_Couvillion_sRNA_Precursor_Annotations_2014updated.gtf" "-o" "couvillion-potential_counts.txt" "/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam" 
Geneid	Chr	Start	End	Strand	Length	/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam
IIA_potential:Plus_Strand:Pseudogene_A-rich_tract	scf_8254822	132107	137772	+	5666	4598
IA_potential:Minus_Strand:Pseudogene_A-rich_tract	scf_8253856	44026	44122	-	97	0
VA_potential:Minus_Strand:Pseudogene_A-rich_tract	scf_8254697	951965	955446	-	3482	0
Ph6_potential:Minus_Strand:Phased_Hairpin	scf_8254483	114158	114650	-	493	0
Twi8.5_potential:Plus_Strand:EST-supported_Endo-siRNA-like	scf_8255529	258	1117	+	860	120
IE_potential:Minus_Strand:Pseudogene_A-rich_tract	scf_8254638	960527	966409	-	5883	0
IC_potential:Minus_Strand:Pseudogene_A-rich_tract	scf_8254600	158149	168782	-	10634	0
Twi7.2_potential:Minus_Strand:Low-copy_repeat	scf_8254848	1	1059	-	1059	0
Twi7.1_potential:Plus_Strand:Low-copy_repeat	scf_8254811	1103293	1103923	+	631	82
IIA_potential:Minus_Strand:Pseudogene_A-rich_tract	scf_8254822	132107	137772	-	5666	0
Twi8.1_potential:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254548	564708	663184	-	98477	0
Twi8.8_potential:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254543	70453	70616	-	164	0
IIB_potential:Plus_Strand:Pseudogene_A-rich_tract	scf_8254557	43640	48632	+	4993	155
Twi8.3_potential:Minus_Strand:EST-supported_Endo-siRNA-like	scf_8254654	48420	66686	-	18267	0
IVC_potential:Plus_Strand:Pseudogene_A-rich_tract	scf_8254718	113749	125486	+	11738	0
